"id_doc";"Date";"pol";"url_vw"
"EPdoc-14-19_574";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-stabilisation-and-association-agreement-with-the-former-yugoslav-republic-of-macedonia-draft-legisla.html"
"EPdoc-14-19_575";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-application-of-articles-107-and-108-tfeu-to-certain-categories-of-horizontal-state-aid-draft-legisla.html"
"EPdoc-14-19_576";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-rules-for-the-application-of-article-108-tfeu-draft-legislative-resolution-single-vote-consultation.html"
"EPdoc-14-19_577";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-commission-and-executive-agencies-proposal-for-a-decision-.html"
"EPdoc-14-19_593";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-court-of-auditors-special-reports-in-the-context-of-the-2013-commission-discharge-motion-for-resolut.html"
"EPdoc-14-19_594";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-8th-9th-and-10th-edfs-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_596";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-parliament-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_613";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-council-and-council-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_615";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-external-action-service-proposal-for-a-decision-vote-decis.html"
"EPdoc-14-19_618";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-court-of-justice-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_620";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-court-of-auditors-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_622";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-economic-and-social-committee-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_624";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-committee-of-the-regions-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_626";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-ombudsman-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_628";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-data-protection-supervisor-proposal-for-a-decision-vote-de.html"
"EPdoc-14-19_631";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-2013-discharge-performance-financial-management-and-control-of-eu-agencies-motion-for-resolution-vot.html"
"EPdoc-14-19_632";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-agency-for-the-cooperation-of-energy-regulators-acer-proposal-for-a-decision-vote-dec.html"
"EPdoc-14-19_634";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-office-of-the-body-of-european-regulators-for-electronic-communications-berec-proposa.html"
"EPdoc-14-19_636";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-translation-centre-for-the-bodies-of-the-european-union-cdt-proposal-for-a-decision-v.html"
"EPdoc-14-19_638";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-centre-for-the-development-of-vocational-training-cedefop-proposal-for-a-dec.html"
"EPdoc-14-19_640";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-police-college-cepol-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_642";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-aviation-safety-agency-easa-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_644";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-asylum-support-office-easo-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_646";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-banking-authority-eba-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_648";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-centre-for-disease-prevention-and-control-ecdc-proposal-for-a-decision-vote-.html"
"EPdoc-14-19_650";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-chemicals-agency-echa-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_652";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-environment-agency-eea-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_654";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-fisheries-control-agency-efca-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_656";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-food-safety-authority-efsa-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_658";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-institute-for-gender-equality-eige-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_660";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-insurance-and-occupational-pensions-authority-eiopa-proposal-for-a-decision-.html"
"EPdoc-14-19_662";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-institute-of-innovation-and-technology-eit-proposal-for-a-decision-vote-deci.html"
"EPdoc-14-19_664";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-medicines-agency-ema-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_666";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-monitoring-centre-for-drugs-and-drug-addiction-emcdda-proposal-for-a-decisio.html"
"EPdoc-14-19_668";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-maritime-safety-agency-emsa-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_670";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-union-agency-for-network-and-information-security-enisa-proposal-for-a-decis.html"
"EPdoc-14-19_672";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-railway-agency-era-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_674";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-securities-and-markets-authority-esma-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_676";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-training-foundation-etf-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_678";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-agency-for-the-operational-management-of-large-scale-it-systems-in-the-area-.html"
"EPdoc-14-19_680";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-agency-for-safety-and-health-at-work-eu-osha-proposal-for-a-decision-vote-de.html"
"EPdoc-14-19_682";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-euratom-supply-agency-euratom-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_684";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-foundation-for-the-improvement-of-living-and-working-conditions-eurofound-pr.html"
"EPdoc-14-19_686";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-the-european-union-s-judicial-cooperation-unit-eurojust-proposal-for-a-decision-vote-.html"
"EPdoc-14-19_688";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-police-office-europol-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_690";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-union-fundamental-rights-agency-fra-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_692";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-agency-for-the-management-of-operational-cooperation-at-the-external-borders.html"
"EPdoc-14-19_694";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-european-gnss-agency-gnss-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_696";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-artemis-joint-undertaking-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_698";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-clean-sky-joint-undertaking-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_700";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eniac-joint-undertaking-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_702";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-fuel-cells-and-hydrogen-joint-undertaking-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_704";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-innovative-medicines-initiative-joint-undertaking-proposal-for-a-decision-vote-decisi.html"
"EPdoc-14-19_706";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-joint-undertaking-for-iter-and-the-development-of-fusion-energy-proposal-for-a-decisi.html"
"EPdoc-14-19_708";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-sesar-joint-undertaking-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_725";"2015-04-29";"Economic & monetary affairs";"http://www.votewatch.eu/en/term8-money-market-funds-draft-legislative-resolution-vote-commission-proposal-ordinary-legislative-proced.html"
"EPdoc-14-19_726";"2015-04-29";"International trade";"http://www.votewatch.eu/en/term8-imports-of-textile-products-from-certain-third-countries-not-covered-by-specific-union-import-rules-.html"
"EPdoc-14-19_484";"2015-03-12";"Foreign & security policy";"http://www.votewatch.eu/en/term8-south-sudan-including-recent-child-abductions-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_745";"2015-04-29";"Budget";"http://www.votewatch.eu/en/term8-estimates-of-revenue-and-expenditure-for-the-financial-year-2016-section-i-parliament-motion-for-res-19.html"
"EPdoc-14-19_746";"2015-04-29";"Civil liberties, justice & home affairs";"http://www.votewatch.eu/en/term8-european-public-prosecutor-s-office-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_758";"2015-04-29";"Foreign & security policy";"http://www.votewatch.eu/en/term8-second-anniversary-of-the-rana-plaza-building-collapse-and-the-state-of-play-of-the-sustainability-c-10.html"
"EPdoc-14-19_773";"2015-04-29";"Civil liberties, justice & home affairs";"http://www.votewatch.eu/en/term8-report-of-the-extraordinary-european-council-meeting-23-april-2015-the-latest-tragedies-in-the-medit-15.html"
"EPdoc-14-19_550";"2015-04-28";"Employment & social affairs";"http://www.votewatch.eu/en/term8-international-convention-on-standards-for-fishing-vessel-personnel-draft-legislative-resolution-appr.html"
"EPdoc-14-19_551";"2015-04-28";"Budget";"http://www.votewatch.eu/en/term8-draft-amending-budget-no-2-2015-revision-of-the-mff-for-2014-2020-motion-for-resolution-single-vote.html"
"EPdoc-14-19_564";"2015-04-28";"Fisheries";"http://www.votewatch.eu/en/term8-landing-obligation-draft-legislative-resolution-vote-legislative-resolution-ordinary-legislative-pro.html"
"EPdoc-14-19_565";"2015-04-28";"Foreign & security policy";"http://www.votewatch.eu/en/term8-protocol-to-the-partnership-and-cooperation-agreement-between-the-ec-and-russia-to-take-account-of-t.html"
"EPdoc-14-19_566";"2015-04-28";"Culture & education";"http://www.votewatch.eu/en/term8-implementation-of-the-bologna-process-motion-for-resolution-vote-cult-committee-resolution.html"
